"domain","company_commercial_name","company_legal_name","company_all_available_names","phone_numbers","social_media_links","address"
"bostonzen.org","Greater Boston Zen Center","GREATER BOSTON ZEN CENTER INC.","Greater Boston Zen Center | Boston Zen | GREATER BOSTON ZEN CENTER INC.","[]","[]","Greater Boston Zen Center  |  552 Massachusetts Ave #208  |  Cambridge, MA 02139"
"mazautoglass.com","MAZ Auto Glass","","MAZ Auto Glass","[""(415) 626-4474""]","[]","
 230 Bayshore Blvd.San Francisco, CA 94124"
"melatee.com","Melatee","","Melatee","[]","[]",""
"timent.com","Timent Technologies","","Timent Technologies | Timent","[]","[]",""
"tlalocrivas.com","Tlaloc Rivas","","Tlaloc Rivas","[]","[""https://www.facebook.com/tlalocnyc"",""https://twitter.com/TlalocRivas"",""https://www.instagram.com/tlalocnyc/?hl=en"",""https://www.linkedin.com/in/tlaloc-rivas-2a6b2610/""]",""
"creativebusinessassociates.com","Creative Business Associates","","Creative Business Associates","[]","[""https://www.facebook.com/paula.easton""]",""
"cumberland-river.com","Cumberland River","","Cumberland River","[]","[]",""
"verdantporch.com","The Verdant Porch","","The Verdant Porch | Verdant Porch","[]","[]",""
"workitstudio.com","Work It! Studio by WandaWoman","Forge Marketing & Management Pty.","Work It! Studio by WandaWoman | Work It! Studio | Forge Marketing & Management Pty.","[""(202) 588-7363""]","[""https://www.facebook.com/balancegymdc/?fref=mentions"",""https://www.facebook.com/workitstudio"",""https://twitter.com/workitstudio"",""https://www.instagram.com/workitstudio/""]",""
"coffee-homemachines.club","Coffee-Homemachines","","Coffee-Homemachines | Northecomm LLC.","[]","[]",""
"mendiolagardening.com","Mendiola's Gardening","","Mendiola's Gardening | Mendiola’s gardening - Home","[]","[]",""
"thestonenc.com","Thestonenc","","Thestonenc | The Stone Church | The Stone","[]","[]",""
